mnemonic word-card | --from ms1= | exit 2 | refused=True | --from ms1=-
mnemonic word-card | --from phrase= | exit 2 | refused=True | --from phrase=-
ms inspect | <ms1> | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is an ms1 string (or one share of an ms1 share-set), 50 characters long.
ms decode | <ms1> | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is an ms1 string (or one share of an ms1 share-set), 50 characters long.
ms verify | <ms1> | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is an ms1 string (or one share of an ms1 share-set), 50 characters long.
ms derive | <ms1> | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is an ms1 string (or one share of an ms1 share-set), 50 characters long.
ms encode | --phrase | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is a BIP-39 mnemonic, 93 characters long.
ms encode | --hex | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is raw hex entropy, 32 characters long.
ms verify | --phrase | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is a BIP-39 mnemonic, 93 characters long.
ms derive | --hex | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is raw hex entropy, 32 characters long.
ms derive | --phrase | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is a BIP-39 mnemonic, 93 characters long.
ms derive | --passphrase | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is a BIP-39 passphrase, 18 characters long.
ms repair | --ms1 | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is an ms1 string, 50 characters long.
ms split | --phrase | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is a BIP-39 mnemonic, 93 characters long.
ms split | --hex | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is raw hex entropy, 32 characters long.
ms combine | <shares> | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is an ms1 string (or one share of an ms1 share-set), 50 characters long.
ms hashlock | <positional> | exit 1 | refused=False | error: string length 25 not in v0.1 set [50, 56, 62, 69, 75]
ms hashlock | --phrase | exit 1 | refused=True | ms: argument 3 on ARGV (arguments count from 0, and 0 is `ms` itself) is a BIP-39 mnemonic, 28 characters long.
